bankruptcy,app_id,tot_derog,tot_tr,age_oldest_tr,tot_open_tr,tot_rev_tr,tot_rev_debt,tot_rev_line,rev_util,bureau_score,purch_price,msrp,down_pyt,purpose,loan_term,loan_amt,ltv,tot_income,used_ind
1,1088,1,3,138,,1,75,4190,2,695,15253,14000,3000,LOAN,,,82,2500,0
0,1107,0,15,312,6,5,2851,64909,4,785,17081,16280,5081,LOAN,,,74,4250,0
0,1113,3,50,307,15,11,25855,50626,51,618,26739,22175,7595,LOAN,,,86,11600,1
0,1114,1,31,334,11,9,47292,90299,52,654,9131,10000,4000,LOAN,,,51,3333.33,1
1,1117,4,12,161,3,1,4452,4950,90,675,14690,14318,1000,LOAN,,,96,3672,0
0,1118,,,,,,,,0,,8992,9425,5000,LOAN,,,42,1208.33,1
0,1119,2,16,94,4,3,940,4765,20,724,22089.75,19314,2000,LEASE,,,104,2083.33,0
0,1122,0,21,175,,3,1694,12389,14,801,10000,10000,0,LOAN,,,100,3000,1
0,1126,0,14,108,,8,14414,18797,77,624,13418,12500,2400,LOAN,,,88,2800,1
0,1129,0,9,50,6,5,3469,9110,38,672,19679,15750,3268,LOAN,,,104,3333.33,1
1,1130,21,47,177,7,5,8841,8902,99,645,11690,11800,600,LOAN,,,94,3916.67,1
0,1139,0,21,392,5,3,5677,33550,17,722,14900,14000,0,LOAN,,,106,4566.67,1
0,1145,1,12,170,5,3,2134,17182,12,706,25501,21575,650,LOAN,,,115,8166.67,1
1,1146,1,5,134,,,9998,9998,100,659,14728,14975,500,LOAN,,,95,1600,1
0,1151,0,23,110,3,2,802,13084,6,765,12700,13699,2000,LOAN,,,78,4200,0
0,1155,1,18,134,,2,3021,7200,42,684,23461,25094,11000,LOAN,,,50,3600,0
0,1167,0,8,122,,2,5778,30500,19,720,18475,20550,850,LOAN,,,86,2944,0
0,1184,0,20,225,7,4,12010,21306,56,726,21145,18660,0,LEASE,,,113,2256,0
0,1186,0,18,212,4,3,9809,62607,16,743,29800,39855,0,LEASE,,,75,6336.67,0
0,1188,0,4,37,,,,,0,673,29899,28998,6000,LOAN,,,82,3800,0
0,1190,0,2,19,,,,,0,644,23300,21857,13500,LOAN,,,45,3500,0
0,1198,0,11,143,,,,,0,674,7500,7500,0,LOAN,,,100,1900,1
0,1202,0,20,88,9,7,28516,50972,56,629,18900,20800,0,LOAN,,,91,3333.33,0
0,1215,,,,,,,,0,,18744,18430,3000,LOAN,,,77,1100,0
0,1223,1,8,52,2,1,536,1500,36,640,7653,9200,1000,LOAN,,,72,1583,1
0,1224,0,5,153,,0,0,5000,0,753,23999,23999,6000,LEASE,36,19049,79,2500,1
0,1241,0,17,69,7,4,184,9500,2,750,22000,23000,0,LEASE,,,96,2300,0
0,1243,,,,,,,,0,,17073,17305,3805,LOAN,,,77,1055,0
0,1248,0,4,21,,4,838,1900,44,677,28655,23000,500,LOAN,,,100,2100,0
0,1250,0,25,270,6,4,8241,31386,26,747,9100,9000,2800,LOAN,0,0,70,5500,1
0,1252,2,8,110,5,3,2832,7920,36,735,14821,12525,0,LOAN,,,118,2100,1
0,1253,7,24,280,15,6,13430,20767,65,728,18807.29,18307,1933.57,LOAN,,,92,7250,0
0,1254,1,4,37,2,0,9998,662,100,628,18165,20000,500,LOAN,,,88,2083.33,1
0,1258,0,21,320,10,7,17798,43328,41,664,39300,25000,20000,LOAN,,,77,9166.66,0
0,1259,,,,,,,,0,714,21132.39,19979,1000,LOAN,,,96,4200,0
0,1261,2,15,94,5,4,4375,13208,33,669,17500,17500,0,LOAN,,,100,3500,1
1,1262,5,22,178,4,2,3401,16846,20,671,9200,8000,2200,LOAN,,,88,3250,1
0,1265,0,6,67,,1,3006,11900,25,640,12859,11600,1300,LOAN,,,100,3333.33,1
0,1269,2,20,284,4,3,9702,32019,30,680,22618.69,24000,100,LOAN,,,83,3576,0
0,1278,0,39,208,5,3,6110,40220,15,736,17702,17800,0,LEASE,,,99,2500,1
0,1279,4,17,163,4,3,19049,21710,88,613,17200,16765,0,LEASE,48,16191.42,103,1916.67,0
0,1280,0,19,100,6,1,259,17000,2,773,13250,12684,750,LOAN,,,99,1366,0
0,1291,3,21,207,8,4,1430,24800,6,722,10784.7,9950,0,LOAN,,,108,3460,1
0,1292,0,7,21,6,2,372,1334,28,652,8200,8200,0,LOAN,,,100,3416.66,1
0,1298,0,21,260,6,4,15060,39033,39,735,19595,22217,0,LEASE,,,88,2500,0
0,1300,9,39,233,9,4,7751,11549,67,666,24774.99,20375,6498,LOAN,,,90,6500,1
0,1307,3,24,120,6,4,3860,4517,85,633,28400,33110,0,LEASE,,,86,2500,0
1,1309,9,21,171,7,4,2530,2195,100,610,18306,15600,4306,LOAN,,,90,3800,1
0,1312,0,18,123,6,2,102,10328,1,783,21090.85,22000,0,LOAN,,,96,2950,0
0,1314,3,16,244,5,4,8427,8848,95,654,9760,9025,1000,LOAN,,,97,3000,1
0,1322,0,1,17,,0,0,180,0,766,16200,16500,6500,LOAN,,,59,9288,0
0,1323,0,45,151,11,8,33275,72860,46,677,6396.79,6899,0,LOAN,,,93,5833.33,0
0,1325,0,11,224,4,1,328,25000,1,807,7400,6999,0,LOAN,,,106,4333.33,0
0,1328,2,9,137,5,3,2639,3791,70,663,10750,9000,1750,LOAN,,,100,4166.67,0
0,1329,1,17,331,,4,16646,50820,33,655,15795,20375,0,LEASE,,,78,2500,0
0,1334,3,17,81,,3,4140,5185,80,621,11999,0,0,LOAN,,,,4000,0
0,1339,2,7,210,,1,2400,2500,96,,17898,18475,550,LOAN,,,94,2166.67,1
0,1340,8,15,127,3,2,336,3956,8,650,23930,22290,1700,LOAN,,,94,5014,0
0,1341,1,26,142,9,4,6362,7451,85,661,15500,15750,5000,LOAN,,,67,4333.33,1
0,1343,1,20,183,7,5,24334,43000,57,637,49654,48700,1000,LOAN,,,100,4416.67,1
0,1344,0,8,118,3,2,2427,5600,43,644,17944,16519,1444,LEASE,,,100,2626.17,0
0,1346,0,36,182,7,4,6421,22914,28,695,26289.7,24585,50,LEASE,,,107,7750,0
0,1349,0,24,219,4,2,3512,67700,5,803,32900,39185,10000,LOAN,,,58,9083,0
0,1350,6,30,132,7,6,26624,30354,88,631,10900,11550,500,LOAN,,,90,2000,1
0,1353,0,13,98,3,2,134,26000,1,782,24357,25961,5614,LOAN,,,72,6666.67,0
0,1354,0,21,292,7,2,1231,38490,3,744,12340,10700,0,LOAN,,,115,4675.66,1
1,1355,14,37,156,9,5,3832,4308,89,651,28200,24500,4900,LOAN,,,95,6500,1
0,1356,2,8,116,4,3,2147,3646,59,663,17500,17525,0,LOAN,,,100,2050,1
0,1358,0,11,70,5,3,4918,7873,62,696,23831.84,18270,9531.84,LOAN,,,109,2800,1
0,1362,4,30,118,9,8,9651,19968,48,643,22872,25233,0,LEASE,,,91,3400,0
0,1364,2,7,56,2,1,2394,3400,70,654,13700,15625,0,LOAN,,,88,6000,1
0,1365,3,33,132,6,3,7424,11300,66,602,24545.2,22320,2225.2,LOAN,,,100,6750,0
0,1366,0,7,95,,0,0,19612,0,763,8139,8000,5000,LOAN,,,39,1300,1
0,1369,0,26,155,8,5,20758,48728,43,723,32465.56,31043,0,LOAN,,,105,1600,0
0,1370,0,25,257,7,3,5482,13184,42,763,10305,8550,1060,LOAN,,,108,2500,1
0,1371,8,12,54,5,4,3835,4674,82,615,16300,13700,4100,LOAN,60,19085.07,139,1800,1
0,1378,2,23,122,10,7,7762,6178,100,638,27000,27120,0,LOAN,,,100,3691.67,0
0,1379,0,7,52,6,4,2971,4065,73,679,23320,99435,2120,LEASE,,,21,4362.8,1
0,1382,2,5,28,,3,1231,2033,61,585,10075,8400,2000,LOAN,,,96,1333.33,1
0,1383,0,10,51,6,5,5111,9699,53,696,18732,16575,1245,LOAN,,,106,2083.33,1
0,1384,0,6,154,,1,510,2500,20,747,5120,6199,1000,LOAN,,,66,708.33,0
0,1386,6,11,158,5,4,3880,3433,100,656,19650,16550,3150,LOAN,,,110,4083.33,1
0,1389,5,20,126,12,1,257,642,40,671,27900,26292,6000,LOAN,,,83,3966.67,0
0,1391,4,24,153,7,3,2657,3252,82,631,16450.88,16500,25,LOAN,,,100,12600,1
0,1392,0,7,50,4,2,2859,3071,93,631,14500,13955,3500,LOAN,,,79,3300,1
1,1399,3,15,120,2,1,9991,10000,100,704,22756,19350,1602,LOAN,,,109,4949.67,0
0,1402,0,18,87,7,3,8019,10800,74,677,15317.45,17925,0,LOAN,,,85,5833,1
0,1404,0,11,157,,2,420,19218,2,792,4947.3,5325,2000,LOAN,,,55,7800,1
0,1405,0,0,2,,1,42,500,8,,14494,8000,9000,LOAN,,,69,1300,1
0,1406,0,5,15,4,2,657,1845,36,637,13100,13100,0,LOAN,,,100,1935,1
0,1409,1,25,118,5,3,9561,28500,34,650,14540,14600,1000,LOAN,,,93,2500,1
0,1410,1,23,238,4,2,11139,10200,100,718,36500,33200,0,LEASE,,,110,5416.67,1
0,1411,3,5,31,,,,,0,640,21248.66,21370,209.66,LOAN,,,98,3700,0
0,1413,1,21,188,10,5,16886,19787,85,680,31894,26125,3294,LOAN,,,109,7000,1
0,1414,2,12,177,7,5,10630,15353,69,628,25235,27290,0,LOAN,,,92,4000,0
0,1417,0,6,23,6,3,1059,3600,29,611,13300,8100,5300,LOAN,,,99,2150,1
0,1418,0,11,270,2,0,0,11000,0,767,39506,41355,1500,LOAN,,,92,5416.67,0
0,1420,3,28,314,8,5,11058,32008,35,689,30220,30220,645,LEASE,,,98,2916.67,0
0,1424,3,19,112,3,1,1837,12200,15,707,12158,11500,0,LOAN,,,106,3666.67,1
0,1426,6,8,66,,,,,0,681,17900,14909,1500,LOAN,,,110,2333.33,0
0,1428,0,6,113,2,0,0,800,0,692,11508.87,10700,0,LOAN,,,108,3683.33,1
0,1429,2,10,267,3,2,1182,1329,89,648,21692.34,23447,0,LEASE,,,93,2716.67,0
0,1430,2,7,206,3,2,4289,19346,22,692,16431,16300,0,LOAN,,,101,2916.67,1
0,1433,0,16,136,7,6,16745,33268,50,722,10800,6500,4200,LOAN,,,102,5472,1
0,1437,,,,,,,,0,,5478,5000,1000,LOAN,,,90,1525,1
0,1438,6,16,132,,2,1470,4200,35,662,18248,18500,0,LEASE,,,99,2000,0
0,1443,6,25,156,14,7,26424,27491,96,713,11700,10450,2000,LOAN,,,93,6166.67,1
0,1446,0,19,174,7,4,2586,50292,5,813,16176,15075,2150,LOAN,,,93,2083.33,1
0,1447,0,7,43,6,3,403,719,56,643,28740.36,18450,1258.36,LOAN,,,100,3500,1
0,1451,0,17,260,3,2,708,28887,2,791,25100,20000,15300,LOAN,,,49,4583.33,0
0,1452,0,11,284,2,1,176,15500,1,799,29400,23375,3000,LOAN,,,102,2800,1
0,1454,0,2,40,,2,906,1300,70,724,31170,29970,0,LOAN,,,104,5470,1
0,1461,0,9,22,5,2,1018,1700,60,625,16700,14000,900,LOAN,,,113,2360,1
0,1463,17,23,182,,,,,0,601,12857,14500,0,LOAN,,,89,6083.34,1
0,1464,0,0,2,,1,24,600,4,707,11360,11500,0,LOAN,,,99,2129,1
0,1465,2,10,33,6,5,4101,6913,59,653,19331,16650,3500,LOAN,,,95,1900,1
0,1467,1,7,26,,3,1846,3745,49,645,13203.25,11500,1703.25,LOAN,,,100,2400,1
0,1475,2,20,117,7,5,22940,17900,100,646,4721,4699,2400,LOAN,0,0,103,8333,0
0,1477,0,35,335,6,3,11402,56667,20,721,14500,15000,0,LEASE,,,97,0,1
0,1480,13,14,261,,1,314,400,79,646,9900,12650,500,LOAN,,,74,1800,1
0,1481,1,28,163,7,4,7202,34400,21,714,24020,24000,0,LEASE,,,100,10300,1
0,1485,2,30,154,9,5,5297,22100,24,698,31000,29782,0,LOAN,,,104,6333.33,0
0,1488,1,13,60,5,2,678,7909,9,666,15204.95,12775,2550,LOAN,,,99,2283.66,1
0,1494,1,30,150,11,8,13040,21847,60,591,17275,13200,4275,LOAN,,,98,5583.33,1
0,1497,2,5,54,2,1,1440,1500,96,615,18738,16157,2700,LOAN,,,102,2187,0
0,1500,0,9,89,8,7,9584,13911,69,672,15175,12900,2500,LOAN,,,98,2000,1
0,1503,0,22,125,12,8,12479,18581,67,667,11397,7100,4397,LOAN,,,110,0,1
0,1504,7,9,132,,1,2509,7600,33,706,13280,13225,300,LOAN,,,98,3200,1
0,1506,1,15,123,4,2,1184,1192,99,748,35955.43,28540,0,LEASE,,,126,6600,0
0,1507,8,53,230,10,6,4950,9242,54,677,32445,31900,0,LEASE,,,102,6000,1
0,1508,1,27,98,6,3,338,7900,4,678,22535,23225,500,LOAN,,,95,3900,1
0,1509,3,9,230,7,6,15970,17104,93,626,14459,12350,2500,LOAN,,,97,2666.66,1
0,1510,0,3,22,3,2,764,1050,73,671,6691,6425,1500,LOAN,,,81,4800,1
0,1516,0,1,21,,,,,0,736,10739,10500,250,LOAN,,,100,4000,1
0,1519,0,11,171,5,3,1041,1900,55,642,10800,9850,0,LEASE,,,110,2600,1
0,1520,1,25,312,7,5,8804,25800,34,701,23665,26222,6095,LOAN,,,67,0,0
0,1523,7,32,369,9,3,7513,10848,69,646,17900,18125,0,LEASE,,,99,5200,1
0,1530,2,8,55,3,1,174,600,29,656,14400,16600,0,LOAN,,,100,4000,1
0,1536,2,13,96,7,6,17993,24979,72,607,7900.01,7850,150,LOAN,,,99,3350,1
0,1538,0,14,107,,4,5743,13386,43,704,25366,22846,3901.67,LEASE,,,94,2375,0
0,1542,0,18,307,4,2,222,52510,0,683,28277,25707,0,LEASE,,,110,16000,0
0,1548,1,1,32,,,9998,0,0,676,31500,31500,0,LOAN,,,100,1900,0
1,1550,5,18,104,,,9998,9998,100,542,12995,11550,2995,LOAN,,,98,4200,1
0,1553,2,9,76,5,2,993,1400,71,613,14620,14980,0,LOAN,,,98,2000,1
1,1555,8,10,140,,2,3826,4000,96,607,22900,24685,500,LEASE,,,91,2400,0
0,1558,4,28,145,13,8,16328,19121,85,622,19169.36,17854,1000,LOAN,,,96,2260.2,0
0,1561,3,5,79,,,,,0,,17780.9,15300,2500,LOAN,,,100,1537,1
1,1566,3,10,206,,,,,0,666,11620,10150,1720,LOAN,,,98,4233.33,1
1,1569,3,18,138,2,1,2316,10000,23,689,35359,29000,8000,LOAN,,,94,3916.67,1
0,1571,6,8,110,3,2,2385,2400,99,579,18300,18325,5500,LOAN,,,70,4083.33,1
0,1573,0,29,197,9,6,9539,36251,26,735,21038,18175,1838,LOAN,,,106,5200,1
0,1574,0,25,154,6,5,11479,16370,70,643,27239.47,24375,1500,LOAN,,,101,4000,0
0,1575,5,26,177,7,4,22708,22583,100,695,15900,11900,2900,LOAN,,,109,5583.33,1
0,1577,0,11,77,2,1,440,3000,15,749,28028,32025,0,LOAN,,,88,3333.33,0
0,1579,0,20,188,3,2,4451,37600,12,802,18100,18000,3000,LOAN,,,84,3833.33,1
0,1581,1,10,64,3,1,1992,2910,68,662,4995,4349,500,LOAN,,,103,5000,0
0,1582,0,34,180,9,6,3301,14915,22,759,23480,21680,758.71,LOAN,,,101,3200,0
0,1586,0,22,189,3,2,1140,34100,3,797,21500,21995,1000,LOAN,,,93,5750,0
0,1587,0,24,99,6,2,4615,27000,17,766,5669,6099,500,LOAN,,,85,4750,0
0,1588,1,23,228,8,5,10032,15594,64,674,32625,33223,5500,LOAN,,,82,4166.67,0
0,1590,1,4,28,4,2,358,508,70,664,16643.99,16650,0,LOAN,,,100,4280,1
0,1598,0,21,186,12,10,19198,40350,48,683,20164,18975,3000,LOAN,,,90,4000,1
0,1600,20,27,120,3,2,914,3500,26,663,20591,15800,4791,LOAN,,,100,2000,1
0,1602,0,15,376,,2,9176,21911,42,736,51417.8,43500,1000,LOAN,,,116,916.67,0
0,1604,3,20,256,7,2,3608,9200,39,692,22775,24489,0,LOAN,,,93,2083.33,0
0,1608,0,11,231,,0,0,18700,0,810,25300,25300,10000,LOAN,,,60,5416.67,0
0,1610,0,21,155,8,4,16852,23453,72,692,29600,29000,0,LOAN,,,102,9166.67,1
0,1611,0,37,201,9,6,7531,41601,18,746,6400,7399,500,LOAN,,,80,2800,0
0,1613,10,31,187,8,6,21236,26367,81,654,22000,23000,0,LEASE,,,96,8500,1
0,1614,0,4,133,,1,698,14800,5,765,23065,23065,5990.25,LOAN,,,74,3126.06,0
0,1615,0,15,135,6,4,5377,41110,13,787,15065,18975,6000,LOAN,,,48,2789,1
0,1616,2,33,119,5,3,15028,19388,78,670,13500,12425,2000,LOAN,,,93,6400,1
0,1619,2,39,224,11,10,7716,32202,24,656,8414.6,8800,0,LOAN,,,96,800,1
0,1620,0,1,22,,,,,0,677,21860,21400,4000,LOAN,,,83,2490,1
0,1621,4,8,44,3,2,1063,950,100,688,24848,21875,2087,LOAN,,,104,3800,1
0,1622,1,12,110,4,2,3435,4015,86,669,32669.32,33500,1400,LOAN,,,93,1771.6,0
0,1625,3,19,143,5,3,5472,2059,100,652,37100,38177,0,LEASE,,,97,2833.33,1
0,1626,0,20,77,9,4,51,30400,0,698,24524,24524,0,LOAN,,,108,2798,0
1,1631,1,8,100,5,3,4540,4651,98,680,13800,13400,800,LOAN,,,97,3150,1
1,1633,20,39,80,6,4,2455,4184,59,630,30399.36,29854,0,LEASE,,,102,7033.33,0
0,1637,1,17,81,14,2,4385,11100,40,686,19992,18900,805,LOAN,,,102,2327,1
0,1638,6,40,292,8,4,2923,13831,21,698,41129.45,46048,0,LEASE,,,89,12500,0
0,1640,7,21,165,6,3,110,800,14,601,24331,21175,6500,LOAN,,,84,4000,1
0,1644,1,13,415,4,3,5563,15771,35,706,16261,13350,1000,LOAN,,,114,2916.67,1
0,1645,1,19,220,2,1,978,34100,3,705,25209,17000,5209,LEASE,,,118,1900,1
0,1648,11,14,67,3,2,1721,2200,78,514,15041,12500,2541,LOAN,,,100,1833,1
0,1652,1,24,268,6,5,11211,24571,46,639,22796.28,22170,771.82,LOAN,,,99,2300,0
0,1653,1,23,164,2,1,3710,13100,28,693,20900,21000,13500,LOAN,0,0,35,5666.67,0
0,1656,1,8,85,3,1,2484,2500,99,693,20687,20050,1500,LOAN,,,96,5300,1
0,1660,1,20,343,3,2,7138,16538,43,606,24000,20000,4900,LOAN,,,96,4000,1
0,1663,5,33,145,7,4,10608,28105,38,631,12400,11400,1000,LOAN,,,100,6000,1
0,1668,0,6,33,4,2,2453,3100,79,713,5354,5000,1354,LOAN,,,80,3800,1
0,1672,0,6,141,,1,579,2500,23,791,8415,5900,2000,LOAN,,,109,2292.98,1
0,1673,1,21,113,5,3,1650,19520,8,765,31485,30200,2400,LOAN,,,96,3833.33,0
0,1674,2,41,195,8,4,18115,22003,82,614,9374.14,8800,4300,LOAN,,,58,6250,1
0,1676,11,23,306,5,1,110,300,37,639,6850,5850,1650,LOAN,,,89,1800,1
0,1677,0,9,50,4,2,809,2300,35,701,6721.4,7299,0,LOAN,,,92,3000,0
0,1680,2,7,135,,,9998,0,0,646,21809.8,20720,2261.5,LOAN,,,94,1666.67,0
0,1681,1,9,52,4,3,3979,3340,100,660,13120,12400,820,LOAN,,,99,3006,1
0,1682,0,7,32,,4,3298,2000,100,695,12087,15000,500,LOAN,,,77,2000,0
0,1685,1,26,129,3,1,2504,27636,9,749,19980,22900,0,LEASE,,,87,7128.33,1
0,1688,0,20,182,8,5,14531,12056,100,728,19673,16500,500,LOAN,,,116,3333.33,1
0,1689,0,4,36,3,2,391,4300,9,778,27300,28900,0,LEASE,,,94,2700,0
0,1692,10,23,133,1,0,0,669,0,612,20950,23000,4800,LOAN,,,70,2750,1
0,1696,2,15,134,8,5,13498,14250,95,618,6700,7699,800,LOAN,,,77,5000,0
0,1697,0,1,39,,1,847,1100,77,680,9913,10450,0,LOAN,,,95,1800,1
0,1699,0,6,146,,2,250,25500,1,785,14542,15243,2000,LOAN,,,82,1200,0
0,1700,0,6,49,5,1,297,600,50,692,8950,9000,0,LEASE,,,99,1000,1
0,1703,1,22,161,5,3,2187,29953,7,657,9125,7150,5000,LOAN,,,58,2833.33,1
0,1705,0,5,103,4,1,709,1000,71,704,13126,14300,3800,LOAN,,,65,2435.33,1
0,1706,2,9,41,3,2,225,1400,16,676,13791,12900,0,LOAN,,,107,2000,1
0,1707,0,11,330,5,3,4419,8398,53,696,18600,23000,0,LEASE,,,81,1525.33,1
0,1710,0,16,65,5,3,1379,18091,8,730,20088.5,15145,2000,LEASE,,,119,2041.67,0
0,1712,2,18,178,5,4,20796,33348,62,638,20917,18000,7500,LOAN,,,75,3333.33,1
0,1714,3,11,180,5,4,2197,7400,30,690,14619,8600,5419,LOAN,,,107,3300,1
0,1716,0,7,55,3,1,3549,4800,74,679,11191.4,11850,500,LOAN,,,90,5200,1
0,1717,1,34,330,10,8,21996,47581,46,646,15089,15490,2500,LOAN,,,81,5000,0
0,1718,2,10,73,2,0,0,5000,0,683,23000,24525,0,LOAN,,,94,3097.36,1
0,1719,5,13,174,4,1,493,692,71,678,10800,9500,0,LOAN,,,114,5200,1
0,1722,0,24,176,5,4,20672,27000,77,715,4893.22,4500,500,LOAN,,,98,2800,0
0,1735,0,17,134,4,3,3362,21000,16,731,33744,30544,7044,LOAN,,,87,6250,0
0,1737,0,14,256,3,2,31,47500,0,784,32200,34000,0,LEASE,,,95,5833.33,0
0,1741,0,30,187,9,5,8221,47800,17,740,22300,24000,0,LOAN,,,93,5000,1
0,1742,1,3,27,3,2,1179,1080,100,532,6135,6100,200,LOAN,,,97,1166.67,1
0,1743,0,12,111,,1,72,22200,0,784,27715,26000,2750,LOAN,,,96,2715,1
0,1752,2,25,268,7,3,2365,5400,44,690,27164.65,20540,4569.65,LEASE,,,110,4913,0
1,1753,4,14,70,7,4,2741,3872,71,654,11200,10200,0,LOAN,,,110,3900,1
0,1756,0,27,149,5,4,4477,31152,14,740,36100,41799,7500,LEASE,0,0,68,6291.67,0
1,1758,8,23,124,3,2,460,700,66,652,13800,14300,1000,LOAN,,,90,1833.33,1
0,1766,11,18,137,3,1,67,1175,6,700,10793,11450,500,LOAN,,,90,6000,1
0,1767,3,40,160,6,3,256,17000,2,669,46200,41000,5200,LEASE,,,100,4211,1
0,1772,3,7,21,3,1,370,406,91,656,21400,14885,6400,LOAN,,,101,3083.33,0
0,1773,0,25,129,4,2,6089,16800,36,716,33454,33800,28435,LEASE,,,84,5600,0
0,1780,0,7,154,5,1,1019,1000,100,634,13612.5,12500,1096.99,LOAN,,,100,2850,1
1,1784,6,25,144,3,2,738,3650,20,693,22387.39,19275,1000,LOAN,,,111,3350,1
0,1789,7,10,78,,1,54,100,54,647,15707,15500,1000,LOAN,,,95,3100,1
1,1790,10,26,133,6,4,2807,2615,100,602,15500,14500,1600,LOAN,,,96,3700,1
1,1795,2,12,117,,2,1244,2160,58,651,16500,16500,0,LOAN,,,100,2854.17,1
0,1796,1,18,96,9,5,5567,22506,25,671,24000,21375,678,LOAN,,,109,4344,1
0,1798,4,22,152,,1,1533,1500,100,756,24500,28805,0,LEASE,,,85,8500,0
0,1799,0,7,64,4,2,2075,3300,63,718,15500,15500,0,LOAN,,,100,3700,1
1,1802,11,49,338,9,6,18829,21697,87,610,18450,18500,0,LOAN,,,100,2812,0
0,1805,2,22,86,12,11,10919,26080,42,683,15950,16350,0,LEASE,,,98,1586,1
1,1806,4,25,373,1,0,0,8729,0,711,30263,29450,413.02,LEASE,,,101,3000,0
0,1807,3,9,39,8,5,1353,1682,80,612,17040,19470,892,LEASE,,,83,7000,0
0,1808,1,22,208,16,15,38837,40961,95,653,17882,18465,0,LEASE,,,97,3365,0
0,1810,0,5,29,3,2,1262,2484,51,644,17995,15100,3000,LOAN,,,99,2300,1
0,1820,0,12,149,,1,1281,3000,43,757,18377,15900,1977,LOAN,,,103,4800,1
0,1821,3,13,127,3,2,9177,5500,100,605,5350,0,1700,LOAN,,,,3500,0
0,1822,0,42,213,12,6,14044,25800,54,693,19623,17500,1000,LOAN,,,106,4400,1
0,1827,0,4,29,4,3,1506,1699,89,644,10403,10000,500,LOAN,,,99,1750,1
0,1832,13,34,158,7,3,4290,5046,85,641,30938,29769,738,LOAN,,,100,5572.33,1
0,1833,5,13,67,4,1,1089,1000,100,629,18600,16100,2600,LOAN,,,99,3100,1
1,1835,4,37,151,8,3,1388,2858,49,638,30535,30535,0,LOAN,,,100,4083.33,0
0,1842,1,14,55,7,4,5836,8260,71,649,20709,20309,1200,LOAN,,,96,3500,1
0,1845,0,22,172,7,5,4194,24080,17,785,25000,26000,3000,LOAN,,,83,5800,0
0,1850,0,26,143,5,3,3805,18900,20,745,15953.5,15145,0,LOAN,,,105,0,0
0,1857,,,,,,,,0,,13858,15010,1806,LEASE,,,80,1300,0
0,1858,1,15,117,5,4,4198,12502,34,657,15300,14050,2100,LOAN,,,94,2333.33,1
0,1861,0,30,233,10,7,15414,30800,50,687,18300,20550,3250,LOAN,,,73,4160,0
0,1863,0,23,121,,2,18919,36100,52,717,10566,10000,3000,LOAN,,,76,5833.33,1
0,1865,0,16,219,2,1,277,2000,14,776,18008.26,15145,500,LOAN,,,116,3000,0
0,1866,5,14,171,9,1,160,214,75,648,24000,20000,4000,LEASE,,,100,2479.17,0
0,1870,0,4,89,1,0,0,0,0,643,21137.34,20500,0,LOAN,,,98,2166.66,0
