bankruptcy,app_id,tot_derog,tot_tr,age_oldest_tr,tot_open_tr,tot_rev_tr,tot_rev_debt,tot_rev_line,rev_util,bureau_score,purch_price,msrp,down_pyt,purpose,loan_term,loan_amt,ltv,tot_income,used_ind,bad,weight
0,1032,1,8,61,3,1,357,6900,5,719,17891.73,17900,0,LEASE,63,17891.73,100,3300,1,0,4.75
0,1033,0,4,77,,,,,0,782,28296,26755,100,LOAN,72,28331,106,2900,1,0,4.75
0,1034,2,20,276,,2,659,5485,12,689,28297.49,19200,8297.49,LEASE,63,25592.51,133,4200,1,0,4.75
0,1035,1,39,252,4,0,0,20800,0,791,17862.5,16800,4000,LOAN,60,13648.5,83,8333.34,0,0,4.75
0,1036,,,,,,,,0,721,15490,14435,1900,LOAN,66,13485.19,94,6700,0,0,4.75
0,1038,1,28,283,9,5,2074,33330,6,732,13470,13500,0,LOAN,60,13515.5,100,4333.33,1,0,4.75
0,1039,0,11,78,8,2,1941,12000,16,768,29445,27593,3000,LEASE,60,26445,96,3275,0,0,4.75
1,1041,8,16,195,5,4,2602,1414,100,664,19616,20219,0,LEASE,63,20479.93,101,2400,0,1,1
0,1042,1,3,49,3,1,316,702,45,647,26720,23750,4720,LEASE,60,26018.05,110,3750,1,1,1
0,1043,0,10,185,3,2,5707,10030,57,697,10822,9400,500,LOAN,54,11842.7,126,2650,1,0,4.75
0,1044,0,25,202,8,4,2452,52353,5,713,38970,36689,1,LEASE,60,38969,106,5000,0,0,4.75
0,1045,0,18,83,3,2,16308,19000,86,689,30559,37480,3900,LEASE,48,30559.75,82,5000,0,0,4.75
0,1046,0,4,84,,2,1321,22908,6,710,24659,19500,4200,LOAN,66,21416.31,110,1780,1,0,4.75
0,1047,0,21,163,5,4,6795,30200,23,711,25973.43,23305,0,LEASE,60,25973.43,111,4164,0,0,4.75
0,1048,0,18,200,,2,1658,25900,6,795,9644,8000,2000,LOAN,60,9224.8,115,3000,1,0,4.75
0,1050,1,23,110,4,2,19065,19106,100,713,32775,25212,0,LEASE,60,35140.6,139,5666.66,0,0,4.75
0,1051,1,33,197,8,5,6922,53254,13,734,23001,26565,0,LEASE,63,21349.75,87,3520,0,0,4.75
0,1052,0,11,119,4,1,25,500,5,761,13708,11975,0,LOAN,60,15063.3,126,1291.67,1,0,4.75
0,1054,4,27,288,7,4,875,13948,6,717,39135.61,31115,1776.48,LEASE,63,37359.13,120,7666,0,1,1
0,1055,7,7,,,,,,0,,21039.71,17650,11500,LOAN,60,11898.71,67,4000,1,0,4.75
0,1056,0,1,23,,,,,0,524,23711,23400,1000,LOAN,60,22084.87,97,3200,1,0,4.75
0,1057,2,14,191,,5,8148,23755,34,698,15500,16200,500,LOAN,66,16811.7,104,2700,1,0,4.75
0,1058,6,28,128,8,1,1654,2000,83,670,4580,3600,1000,LOAN,24,3989.97,111,5541.67,1,0,4.75
0,1060,0,13,304,,3,2706,35475,8,779,21162.41,20480,4280,LEASE,36,16882.41,82,5833.34,1,0,4.75
0,1061,1,16,158,4,2,886,9675,9,818,27792.84,30878,6200,LEASE,48,21592.84,70,4416.67,0,0,4.75
0,1062,0,21,189,5,2,1703,6523,26,781,9535,8375,500,LOAN,60,9160.75,109,8500,1,0,4.75
0,1063,1,14,230,,3,2700,26601,10,713,23344.98,23805,2000,LOAN,72,22361.98,94,6666.67,0,0,4.75
0,1065,0,5,27,,,,,0,618,18723.9,17925,1656.77,LEASE,60,17900,100,2500,1,1,1
0,1066,0,27,362,,3,480,45895,1,781,10142,10000,2000,LOAN,24,8277.25,83,7541.67,1,0,4.75
0,1067,1,25,166,5,2,2849,30995,9,805,29648.15,24570,0,LEASE,63,28022.64,121,4460,0,1,1
0,1068,0,13,193,5,2,4036,6360,63,812,9699.59,7750,0,LOAN,54,11754.91,152,1800,1,1,1
0,1069,0,43,290,11,9,38374,60939,63,666,28427.38,31995,0,LEASE,60,28427.38,89,18750,1,0,4.75
0,1070,1,46,364,6,2,2465,24700,10,804,29351.7,26561,621.5,LEASE,63,28730.2,108,5416.67,0,0,4.75
0,1071,0,22,98,4,2,4045,17291,23,745,13536,16945,0,LEASE,60,13536.27,80,4000,1,0,4.75
1,1072,5,18,126,,,9998,0,0,617,12181,16159,0,LEASE,60,13151,81,3153.58,0,0,4.75
0,1075,1,10,156,3,1,986,36500,3,715,38683,37005,819,LEASE,36,38683.36,105,6500,0,0,4.75
0,1077,1,12,96,4,2,2716,7000,39,683,16610,14895,2000,LOAN,66,14775.58,99,2500,0,0,4.75
0,1079,3,14,305,4,2,6441,6700,96,559,10700,13575,0,LOAN,54,11795.11,87,2041.67,1,1,1
0,1080,1,13,87,9,7,4932,8235,60,644,41135,36617,4535,LEASE,63,41305.67,113,4166.67,0,0,4.75
0,1084,0,15,209,3,2,445,24900,2,771,24237,19000,11888,LOAN,60,12439.58,65,2833.33,0,0,4.75
0,1085,0,12,220,4,2,12383,26741,46,755,20713.63,18600,1000,LOAN,48,19288.63,106,4000,1,0,4.75
1,1087,1,20,152,9,8,2566,7270,35,681,11717,10975,500,LOAN,66,11794,107,2000,1,0,4.75
0,1089,0,16,86,,7,6876,51708,13,698,13333.56,17002,0,LEASE,60,14303.55,84,2000,0,0,4.75
0,1090,0,6,138,,2,231,31500,1,800,11625,10975,1200,LOAN,60,10566.5,96,3108.33,1,0,4.75
0,1091,0,5,30,5,2,1910,1974,97,,0,18375,0,LEASE,63,22177.5,121,4125,0,0,4.75
0,1092,1,15,39,9,5,5914,7404,80,640,21236.3,21713,0,LEASE,63,21236.3,98,1800,0,1,1
0,1093,5,13,152,4,3,504,1998,25,660,18200,18800,0,LEASE,63,18945,101,4300,0,1,1
0,1094,0,2,23,,,9998,0,0,622,21834,24260,0,LEASE,63,24504,101,333.33,0,0,4.75
0,1095,21,27,48,,,,,0,617,10855,10900,0,LOAN,54,11404.6,105,1600,1,0,4.75
1,1096,1,20,142,16,4,3203,3379,95,707,24924,19000,9100,LOAN,66,17177.71,90,4778,1,0,4.75
1,1097,4,10,167,,,9998,9998,100,706,15020.19,11150,2700,LOAN,60,13785.19,124,2600,1,0,4.75
0,1098,0,3,18,,,9998,0,0,705,18709.57,16305,429.52,LEASE,60,18280.05,112,1400,0,0,4.75
0,1099,0,22,76,6,2,6778,46400,15,708,17669.26,17050,1600,LOAN,66,16689.25,98,3083.33,0,0,4.75
0,1100,0,36,307,12,10,33358,144985,23,752,37077.85,38546,1381.88,LEASE,60,35695.97,93,7625,0,0,4.75
0,1101,16,20,99,,3,3687,4569,81,673,10805.41,9525,7800,LOAN,24,3100.41,33,2117,1,0,4.75
1,1102,5,10,84,2,2,1961,3000,65,654,6300,5500,820,LOAN,48,5607.75,102,1852,1,0,4.75
0,1103,0,22,192,,5,4160,16233,26,758,11656.45,9750,1856.45,LOAN,60,9952,102,1500,1,0,4.75
0,1104,0,30,317,9,0,0,11600,0,750,37229.44,32080,500,LEASE,60,36649.01,114,3000,0,0,4.75
0,1105,3,16,148,6,2,2830,600,100,704,35389.65,29420,705.18,LEASE,60,34684.47,118,7333.34,0,1,1
0,1106,0,14,125,,2,6925,19920,35,726,31877,28135,0,LEASE,63,31877,113,3166.67,0,0,4.75
0,1108,0,19,153,4,2,16897,37800,45,742,27713,30290,2500,LEASE,63,26383.97,87,5416.67,0,0,4.75
0,1109,,,,,,,,0,766,17449,14250,4000,LOAN,60,14340.51,101,3350,1,0,4.75
0,1110,1,6,67,4,3,5802,8000,73,612,6860.65,7400,700,LOAN,48,7255.65,98,5000,1,0,4.75
0,1111,0,5,408,,0,0,24310,0,771,19591,19245,8000,LOAN,60,11686.92,61,3500,0,0,4.75
0,1112,11,13,17,,,,,0,614,19757.23,21000,1272.23,LOAN,66,21656.64,103,3083.33,1,0,4.75
0,1115,2,7,87,,2,675,1423,47,709,1,22270,0,LEASE,48,33218.75,149,6986.66,1,1,1
0,1116,17,25,115,6,1,679,2800,24,705,19220,22000,0,LEASE,48,19926.26,91,5420,1,0,4.75
0,1120,0,37,128,9,6,32855,45929,72,766,27625.5,28118,2000,LEASE,60,25625.5,91,8750,0,0,4.75
0,1121,0,5,84,2,1,160,720,22,730,16220,15836,750,LEASE,60,15470,98,2083.33,0,0,4.75
0,1123,3,15,139,5,3,4442,1488,100,678,20191,18950,1253,LOAN,66,19073.19,101,2741.66,0,0,4.75
0,1124,0,5,31,5,2,484,5212,9,742,16604,14625,1,LOAN,66,17213.75,118,0,0,0,4.75
0,1125,3,7,127,4,2,2203,2250,98,653,23450,20056,3394,LEASE,63,24730.68,123,3500,0,1,1
0,1127,1,36,230,14,6,14805,36815,40,736,15810,16000,0,LOAN,60,17075.95,107,7500,1,0,4.75
0,1128,1,19,130,5,3,1848,9852,19,707,19941,21390,3100,LOAN,60,17023.81,80,37000,0,0,4.75
1,1131,10,20,154,,4,1906,2126,90,655,15249,13950,2000,LOAN,54,14669.35,105,4416.67,1,0,4.75
0,1132,1,28,146,10,1,743,3800,20,642,24995,23275,2000,LEASE,39,22995,99,5350,1,1,1
0,1133,0,23,118,,7,4238,47643,9,740,22610,20150,2500,LEASE,36,21122.79,105,3333.33,1,0,4.75
0,1134,1,29,264,4,2,205,24350,1,696,15846.36,19250,0,LEASE,36,16143.66,84,1500,1,0,4.75
0,1135,2,27,235,,3,1745,60784,3,701,9617,8800,4000,LOAN,36,6819,77,4500,1,0,4.75
0,1136,0,19,255,6,3,5933,13546,44,726,21054.4,19500,300,LOAN,66,20186.36,106,2537,1,0,4.75
1,1137,3,15,121,4,1,337,1361,25,583,16693.92,16975,0,LEASE,51,16693.92,98,3800,1,1,1
0,1138,0,20,98,7,2,2157,13748,16,748,26076,19800,4542,LOAN,66,23594.06,119,3250,1,0,4.75
0,1140,2,15,86,4,3,6800,9405,72,685,29010,29000,0,LOAN,72,30740.16,106,6666.67,0,0,4.75
0,1141,1,22,324,5,4,6586,19398,34,679,26300,19800,6500,LEASE,36,14085,100,11250,1,0,4.75
0,1142,0,6,36,4,2,616,4237,15,704,26589,29000,0,LOAN,66,26631.4,92,2500,1,0,4.75
0,1143,6,15,46,5,4,4019,2695,100,623,16905,17100,0,LEASE,63,16905,99,2083.33,1,0,4.75
0,1144,0,4,60,,3,1534,7200,21,751,37797,42266,7500,LOAN,72,32436.39,77,5860,0,0,4.75
0,1147,0,44,209,7,3,10794,26149,41,696,25780,29687,18000,LOAN,60,7915.37,27,40300,1,0,4.75
0,1148,2,11,94,6,4,6707,6600,100,689,17500,15400,1000,LOAN,66,18101.34,118,4833.33,1,1,1
0,1149,0,17,194,2,1,471,10900,4,802,16653.6,17975,353.6,LOAN,60,16460,92,2583,1,0,4.75
0,1150,0,10,87,3,2,1121,17700,6,787,31012,32758,7500,LOAN,60,23647.46,72,7150,1,0,4.75
0,1152,4,8,41,,2,1862,2200,85,634,9154,8675,500,LOAN,48,9057,104,2068,1,1,1
0,1153,2,3,132,,,9998,9998,100,,30604,35700,8200,LOAN,60,22499.05,63,5697,0,1,1
0,1154,0,23,138,7,4,15728,20600,76,718,24763,22097,0,LEASE,60,25308.07,115,3166.67,0,0,4.75
0,1156,0,19,232,10,4,6379,12821,50,700,22635,17640,0,LEASE,63,24209,137,5166.67,0,0,4.75
0,1157,0,20,246,6,4,3339,37165,9,773,20744,18660,882,LOAN,72,20056.04,107,5250,0,0,4.75
0,1158,0,17,174,5,4,9491,47324,20,701,16897,17000,2385,LEASE,36,15562,92,3166.67,1,0,4.75
0,1159,2,14,236,4,2,295,3400,9,764,25495,24005,0,LOAN,60,28074.92,117,1400,1,0,4.75
0,1160,1,23,115,4,3,16003,22500,71,658,30704.75,28540,2204.75,LEASE,63,29047.93,102,2660,0,1,1
0,1161,1,35,231,10,5,10459,41340,25,674,22818.59,25193,3358.57,LEASE,36,19460.02,77,5000,1,0,4.75
0,1162,1,28,225,8,5,5629,43579,13,718,7000,6150,2000,LOAN,54,6819.75,111,3800,1,0,4.75
0,1163,0,5,144,,2,3161,5400,59,713,13388,14554,0,LEASE,36,13388,92,3750,1,1,1
0,1164,0,21,51,,6,16183,47781,34,654,14377,16145,0,LEASE,51,15626.92,97,3200,0,0,4.75
0,1165,0,22,249,3,2,2328,45308,5,766,20212.25,20000,1000,LOAN,60,19347.25,97,6000,1,0,4.75
0,1166,1,17,84,5,2,594,9990,6,641,18690.34,14450,4000,LEASE,60,18690.34,129,4205.06,1,1,1
0,1168,0,18,488,8,6,7955,23556,34,667,5538.19,0,0,LOAN,60,5578.19,101,1599,0,0,4.75
0,1169,12,35,318,7,3,5772,9311,62,611,23303,20898,0,LEASE,63,25131.3,120,2300,0,1,1
0,1170,1,14,193,6,3,2011,1103,100,684,20566.17,23475,815.58,LEASE,60,20295.59,90,0,0,0,4.75
0,1171,1,12,85,5,1,743,902,82,683,22467,25590,0,LEASE,60,21721.27,88,5000,0,0,4.75
0,1172,0,21,180,7,3,13025,16332,80,750,18659,19575,1365,LEASE,48,17294.63,88,5833.33,0,0,4.75
0,1173,5,9,124,5,1,35,35,100,664,20067.2,19425,383.93,LEASE,60,19683.27,101,2400,1,0,4.75
0,1174,0,5,50,,,,,0,635,19245,14500,4245,LEASE,51,19236.2,133,2750,1,0,4.75
0,1175,3,8,53,4,1,1452,1452,100,713,21093.91,10143,0,LEASE,63,21093.91,100,4333.33,0,1,1
0,1176,0,27,125,5,3,4189,19800,21,749,31720,34288,2397.39,LEASE,24,29322.61,86,2880,0,0,4.75
1,1177,5,8,154,2,1,433,933,46,653,23955.23,23056,753.88,LEASE,63,24132.35,105,2800,0,1,1
0,1178,0,10,153,1,0,0,9000,0,779,20081,20000,5000,LOAN,66,15216.81,76,2300,1,0,4.75
0,1179,0,4,297,,2,5287,13700,39,751,16484.98,15200,4817.98,LOAN,60,11819,78,2848,1,0,4.75
1,1180,1,13,143,6,4,1637,2693,61,656,23720.19,22351,0,LEASE,63,23720.19,106,3413.33,0,1,1
0,1181,0,25,482,6,4,9871,49961,20,734,20200,18350,1500,LOAN,66,18794.34,102,5000,1,0,4.75
0,1182,,,,,,,,0,744,13995,15500,0,LEASE,36,14370,93,6666.67,1,0,4.75
0,1183,0,21,159,9,4,3816,42200,9,709,27674,29718,0,LEASE,63,28734.54,97,2500,0,0,4.75
0,1185,0,31,236,6,3,11753,33779,35,739,27400,23500,1900,LOAN,72,23120.51,98,4166.67,0,0,4.75
0,1187,0,7,50,5,4,3873,5600,69,656,22256,18692,1756,LEASE,60,23979.3,128,5391.67,0,1,1
1,1189,3,32,180,14,12,25274,33834,75,670,21345.97,21000,771.43,LEASE,48,20574.54,98,7666.66,1,0,4.75
0,1191,1,5,93,2,1,711,2500,28,722,23362.6,19848,0,LEASE,63,23362.6,118,2864,0,1,1
0,1192,0,17,88,9,7,4087,44800,9,760,27920,30070,5830,LOAN,66,22190.63,74,4250,0,0,4.75
0,1193,2,46,516,16,11,31030,51042,61,645,31731.57,30780,1435.1,LEASE,63,30296.47,98,7500,0,0,4.75
0,1194,4,19,137,,4,7704,8097,95,677,16603,15405,1405,LOAN,66,15608.24,101,2336.17,0,0,4.75
0,1195,1,2,27,1,0,0,825,0,622,9978.75,10425,1978.75,LOAN,54,11593.75,111,1450,1,1,1
0,1196,0,3,33,1,0,0,291,0,718,35900,35085,2500,LOAN,72,38414.04,109,2600,0,0,4.75
0,1197,,,,,,,,0,,18082.12,19925,0,LOAN,60,20142.12,101,2916.67,1,1,1
0,1199,0,18,153,7,5,8642,32706,26,719,14679,15965,0,LEASE,63,14679.36,92,2200,0,0,4.75
0,1200,1,9,62,7,4,1143,5259,22,665,20734,19500,1500,LOAN,60,21385.22,110,15000,1,0,4.75
0,1201,1,8,168,4,1,5573,6000,93,705,9371,8800,1000,LOAN,60,8523,97,3200,1,0,4.75
0,1203,0,4,9,6,4,1340,2270,59,624,6400,6100,1400,LOAN,48,7428.7,122,1700,1,1,1
0,1204,5,30,133,6,1,207,13009,2,730,14669,12500,2500,LOAN,60,13721.02,110,2400,1,0,4.75
0,1205,2,36,178,6,4,3315,28800,12,771,22047.88,23105,2039.65,LEASE,63,20008.23,87,5100,1,0,4.75
0,1206,0,39,329,7,4,10633,74600,14,737,18666.97,16300,1000,LOAN,66,16925.5,108,6000,1,0,4.75
0,1207,0,6,51,3,1,501,500,100,708,30554.83,23995,1833.41,LEASE,63,28970.69,121,2666.67,0,0,4.75
0,1208,0,28,167,3,0,0,2748,0,667,13062.4,12500,1000,LOAN,66,12197.4,98,6583.33,1,0,4.75
0,1209,1,18,141,3,1,2711,13500,20,,21995.22,20745,0,LEASE,63,21995.22,106,3083.33,0,0,4.75
0,1210,1,19,199,6,4,885,4970,18,747,17030,12975,1974,LOAN,66,15991.22,123,2083.33,1,0,4.75
0,1211,0,44,270,9,5,24446,63001,39,688,20668.4,19300,70.11,LEASE,51,20598.29,107,12916.67,0,0,4.75
0,1212,4,10,123,,,,,0,621,27371,28172,0,LOAN,66,27396.6,97,7192,0,0,4.75
0,1213,0,14,66,,1,134,26102,1,748,12315,12000,7000,LOAN,60,5450.68,45,3200,0,0,4.75
0,1214,0,10,383,,1,533,10230,5,785,15449,20100,3000,LEASE,36,12449,62,2083.33,1,0,4.75
0,1216,0,10,66,4,1,231,4400,5,721,30745,29275,0,LEASE,48,30745,105,2800,1,0,4.75
0,1217,0,12,85,,3,9047,23614,38,702,22987.65,21300,2000,LEASE,63,20987.65,99,2050,0,0,4.75
0,1218,0,19,137,3,2,1737,12862,14,749,22400,20000,8000,LOAN,66,15120.81,76,4000,1,0,4.75
0,1219,2,18,91,7,5,6536,34700,19,701,27847,21900,0,LEASE,60,30222.87,138,2583.33,1,0,4.75
0,1220,1,15,415,4,3,24816,24500,100,848,26211,22876,15411,LOAN,24,10075.35,44,10700,0,0,4.75
0,1221,6,9,49,3,2,1305,1000,100,590,9891,9075,2956,LOAN,48,9350.24,103,1987,1,0,4.75
0,1222,0,26,142,3,1,1032,20700,5,772,21384,17070,0,LEASE,63,21384.58,125,3200,0,0,4.75
0,1225,0,16,195,7,6,1349,29184,5,781,14503,12975,1600,LOAN,60,13055.44,101,2425,1,0,4.75
0,1226,1,19,258,6,3,21528,35755,60,654,30531.32,28895,4512.75,LEASE,63,26018.57,90,6500,0,0,4.75
0,1227,0,0,62,,,,,0,778,21649.18,21870,425,LEASE,48,21224.18,97,7283.34,0,0,4.75
0,1228,0,19,137,3,2,485,9695,5,773,22611,12400,11000,LOAN,66,12833.22,103,2533.33,1,0,4.75
1,1229,10,21,134,3,1,3487,4500,77,606,19355,14865,4500,LEASE,60,20401.37,137,4650,0,0,4.75
0,1230,0,45,431,16,14,39777,205395,19,730,14569.24,16145,0,LEASE,42,14569.25,90,10691.67,0,0,4.75
0,1231,0,5,56,1,0,0,0,0,708,16600,17859,4300,LOAN,60,12455.9,70,2500,0,1,1
0,1232,10,20,74,10,9,6781,6541,100,575,15562,15546,0,LEASE,60,18644.27,120,2556.67,0,1,1
0,1233,0,14,162,3,2,2862,46200,6,766,27330,27850,3000,LOAN,60,25460.69,91,5666.67,0,0,4.75
1,1234,7,13,94,4,2,1034,1800,57,665,1,26565,0,LEASE,60,26367.27,99,2500,0,0,4.75
0,1235,2,36,199,12,11,11221,48424,23,675,14241.5,15350,739.36,LEASE,60,13502.14,88,1666.67,0,0,4.75
0,1236,1,10,283,,3,5853,12700,46,739,19900,20682,1500,LOAN,60,18535,90,3108.33,1,0,4.75
0,1237,5,9,28,3,2,549,1200,46,643,22364.29,20955,105.79,LOAN,60,21407.25,102,2174.34,0,1,1
0,1238,0,7,27,4,3,4502,6863,66,654,12230,12500,0,LEASE,48,12230,98,1664,1,0,4.75
0,1239,5,15,68,4,3,3169,27641,11,615,15592,14802,2000,LOAN,60,15712.29,106,3787.67,0,1,1
0,1240,3,7,48,1,0,0,600,0,654,19443,14100,5443,LOAN,66,16372.99,116,3333,1,0,4.75
0,1242,1,19,253,2,1,692,34100,2,803,17147,16000,2000,LOAN,60,18792.79,117,5083.34,1,0,4.75
0,1244,0,43,239,9,3,9395,69377,14,725,34446.35,37813,1500,LEASE,63,32946.35,87,4102.91,0,0,4.75
0,1245,0,5,50,4,3,3694,9314,40,706,17000,20500,0,LEASE,60,17783.94,87,4100,0,0,4.75
0,1246,6,10,39,,,9998,9998,100,601,19250,19300,2000,LOAN,60,19677.97,102,1750,1,1,1
0,1247,0,34,130,8,4,6072,26932,23,719,15027,15000,0,LEASE,48,15027.54,100,6250,1,0,4.75
0,1249,1,5,61,2,1,385,500,77,646,11873.45,12950,0,LOAN,60,11099.45,92,2000,1,0,4.75
0,1251,0,11,143,1,0,0,7520,0,774,26431,24635,3500,LOAN,66,22066.27,90,0,0,0,4.75
0,1255,2,26,349,7,4,7695,57639,13,685,22990,21000,2151,LOAN,72,20924.17,100,5666.67,1,0,4.75
0,1256,1,34,315,11,8,24216,71800,34,746,35460.18,38455,5300,LOAN,60,31597.31,82,11500,0,0,4.75
0,1257,1,39,219,6,3,8072,39062,21,748,6434.6,0,0,LOAN,60,6583.34,102,6250,0,0,4.75
0,1260,0,18,123,6,2,102,10328,1,783,21090.85,22000,0,LOAN,72,21650.85,98,2950,0,0,4.75
0,1263,1,30,277,8,4,5388,17400,31,689,9000,8500,2700,LOAN,36,7940.96,93,10000,1,0,4.75
0,1264,0,16,304,,1,2927,36140,8,794,22512.12,22000,6000,LOAN,60,16147.12,73,3000,0,0,4.75
0,1266,0,27,109,4,2,211,19324,1,773,0,20000,0,LEASE,48,20206.21,101,2226.67,1,0,4.75
0,1267,3,25,102,2,1,7741,11907,65,680,13800,0,6000,LOAN,24,3853.65,28,6500,0,0,4.75
0,1268,0,7,28,4,3,941,6037,16,708,14023,12775,0,LOAN,60,14158,111,1950,1,0,4.75
0,1270,1,18,115,5,2,5150,22330,23,712,32500,36729,0,LEASE,42,32895,90,6016.67,0,0,4.75
0,1271,1,14,124,9,8,11964,16780,71,657,8300,8300,0,LOAN,60,8300,100,5266.67,1,1,1
0,1272,6,22,139,8,5,14794,21494,69,645,20888,21300,0,LEASE,48,18981.72,98,2500,0,0,4.75
0,1273,0,11,205,3,1,338,1300,26,763,15709,18180,0,LEASE,60,16807,92,1159.1,1,0,4.75
0,1274,0,10,104,2,0,0,1800,0,764,26328.04,22024,0,LEASE,60,26963.05,122,4144,0,0,4.75
0,1275,2,19,185,11,9,13990,13556,100,647,25000,25500,2000,LOAN,72,23916.75,94,4000,0,0,4.75
0,1276,1,21,156,4,2,7629,12000,64,695,26877,18995,3477,LEASE,48,27207.75,143,4583.33,1,1,1
0,1277,0,11,356,,3,1379,14467,10,758,21615,19295,8891,LOAN,60,12490,66,3250,1,0,4.75
0,1281,0,14,128,4,2,999,4640,22,782,9151.25,9850,2000,LOAN,60,8290.5,84,3823.72,0,0,4.75
0,1282,9,28,165,13,12,2883,8434,34,538,12200,12700,0,LOAN,60,14328.01,113,4041.67,1,1,1
0,1283,5,19,78,9,3,5955,4926,100,565,5083.41,4450,1800,LOAN,24,3418.41,77,3100,1,0,4.75
1,1284,0,18,81,4,3,2525,14129,18,687,16125,14679,0,LEASE,60,17095,116,2400,0,0,4.75
0,1285,0,43,155,7,3,9825,52121,19,697,5053,6000,0,LOAN,48,5148,86,8600,1,0,4.75
0,1286,0,26,310,4,1,470,20388,2,780,19663.25,18750,500,LOAN,60,20806.64,111,4166.67,0,0,4.75
0,1287,0,32,125,5,3,2145,36200,6,743,13662.68,11500,0,LEASE,60,13562.68,119,5583.33,1,0,4.75
0,1288,0,21,259,5,2,3898,16623,23,751,14883,13485,0,LEASE,60,16878.5,125,1700,0,1,1
0,1289,0,6,45,,,,,0,683,18108,18830,2372,LOAN,48,14700.26,78,4583.33,1,0,4.75
0,1290,0,22,232,4,3,3236,32300,10,,13841.43,14000,7000,LOAN,48,7631.43,55,6200,1,0,4.75
0,1293,0,19,82,8,3,3820,6705,57,615,38000,37000,0,LOAN,66,38504,104,9533.33,1,1,1
0,1294,0,19,191,5,4,5102,41578,12,779,18000,18600,0,LEASE,60,18545,100,5250,1,0,4.75
0,1295,0,0,2,,1,24,600,4,,10700,10800,0,LOAN,66,12711.7,118,1733.33,1,1,1
0,1296,3,23,63,2,1,21,15000,0,652,14694.71,14704,0,LOAN,60,14789.71,101,3500,0,1,1
0,1297,1,8,133,3,1,2337,2500,93,683,15097,14500,1397,LEASE,63,16752.7,116,2460,1,1,1
0,1299,6,15,119,3,2,652,1864,35,618,19500,17200,8000,LOAN,54,11554.96,67,5000,1,0,4.75
0,1301,0,8,175,,2,5631,6666,84,692,20411,22005,1400,LEASE,60,18392.47,86,5500,0,0,4.75
0,1302,22,27,127,,,9998,9998,100,806,10463,9800,800,LOAN,54,11180.34,114,7824,1,0,4.75
0,1303,6,22,229,5,3,2062,8224,25,654,15339,18850,0,LEASE,63,16434,87,5333.33,1,0,4.75
0,1304,2,3,7,,,,,0,649,9518,9975,0,LOAN,60,9759.5,98,5408,1,0,4.75
0,1305,0,25,110,9,6,28804,30831,93,631,20587,18738,1887,LEASE,60,19245,103,4725,0,1,1
